date,user_id,steps,calories,sleep_minutes
01-09-2025,Alice,8500,2100,420
01-09-2025,Bob,12000,2800,450
02-09-2025,Alice,7200,1950,400
02-09-2025,Bob,9500,2200,480
03-09-2025,Charlie,6800,,390
03-09-2025,Alice,9200,2300,440
03-09-2025,Bob,11500,2650,420
04-09-2025,David,5200,1800,360
04-09-2025,Alice,8800,2050,410
04-09-2025,Bob,10200,2400,460
05-09-2025,Charlie,7500,2000,380
05-09-2025,Alice,9600,2250,450
05-09-2025,David,6800,1900,370
06-09-2025,Eve,4500,1600,340
06-09-2025,Alice,8200,1980,400
06-09-2025,Bob,9800,2300,440
07-09-2025,Charlie,8100,2150,410
07-09-2025,David,7200,2000,380
07-09-2025,Eve,5800,1750,350
08-09-2025,Alice,9400,2200,430
08-09-2025,Bob,11200,2600,470
08-09-2025,Charlie,6900,1980,390
08-09-2025,David,8500,2100,400
09-09-2025,Eve,6200,1850,360
09-09-2025,Alice,8700,2080,420
09-09-2025,Bob,10800,2500,450
09-09-2025,Alice,8700,2080,420
10-09-2025,Frank,9200,,380
10-09-2025,Alice,9100,2180,440
10-09-2025,Bob,12500,2900,480
11-09-2025,Charlie,7800,2050,400
11-09-2025,David,8900,2200,410
11-09-2025,Eve,6500,1900,370
12-09-2025,Frank,8700,2100,390
12-09-2025,Grace,5500,1700,330
12-09-2025,Alice,9500,2250,450
13-09-2025,Bob,11800,2750,460
13-09-2025,Charlie,7200,1980,380
13-09-2025,David,9200,2300,420
14-09-2025,Eve,6800,1950,360
14-09-2025,Frank,8200,2050,400
14-09-2025,Grace,4800,1600,320
01-09-2025,Henry,7800,2000,400
02-09-2025,Henry,8500,2200,420
03-09-2025,Iris,6200,,370
04-09-2025,Iris,7400,1950,390
05-09-2025,Jack,9800,2400,450
06-09-2025,Jack,10200,2500,460
07-09-2025,Henry,8800,2150,410
08-09-2025,Iris,6900,1850,380
09-09-2025,Jack,11500,2650,470
10-09-2025,Henry,9200,2300,430
11-09-2025,Iris,7200,1980,400
12-09-2025,Jack,10800,2550,480
13-09-2025,Henry,8600,2100,420
14-09-2025,Iris,6800,1900,390
